id;nom;departement;coordonnees;type_commerce;adresse;ville;adresse_mail;tel
1130;BRIOCHE DOREE (LA);Ille et Vilaine;"{""coordinates"": [[-1.679129953201016, 48.110314491337675]], ""type"": ""MultiPoint""}";VIENNOISERIE;2 RUE D ORLEANS;RENNES;;
1131;MIMO'S GARDEN;Ille et Vilaine;"{""coordinates"": [[-1.679969684937276, 48.11304072195421]], ""type"": ""MultiPoint""}";BAR RESTAURANT;12 PLACE DU CHAMP JACQUET;RENNES;;
1132;AU P'TIT MITRON;Ille et Vilaine;"{""coordinates"": [[-1.681792842908083, 48.09150375587405]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;10 SQUARE SARAH BERNHARDT;RENNES;;
1133;LA MIE MOBILE;Ille et Vilaine;"{""coordinates"": [[-1.651802863573193, 48.10766106063975]], ""type"": ""MultiPoint""}";BAR RESTAURANT;34 BD VILLEBOIS MAREUIL;RENNES;;
1134;LE FOURNIL DES LICES;Ille et Vilaine;"{""coordinates"": [[-1.685838765397638, 48.11257575139593]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE - RESTAURATION RAPIDE;8 PL BAS DES LICES;RENNES;;
1135;BOULANGERIE JEANNE D'ARC;Ille et Vilaine;"{""coordinates"": [[-1.656442834373828, 48.11519507752014]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;10 RUE DANTON;RENNES;;
1136;P'TIT CREUX;Ille et Vilaine;"{""coordinates"": [[-1.679234019045863, 48.1122016455892]], ""type"": ""MultiPoint""}";SANDWICHERIE BOULANGERIE;8 RUE D ESTREES;RENNES;;
1137;AUX DELICES DES FOULONS;Ille et Vilaine;"{""coordinates"": [[-1.679734668813512, 48.11383240168651]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;8 RUE PONT AUX FOULONS;RENNES;;
1138;CAFETERIA AU BON TEMPS;Ille et Vilaine;"{""coordinates"": [[-1.633201768759074, 48.130282921094135]], ""type"": ""MultiPoint""}";CAFETERIA RESTAURATION RAPIDE;4 ALLEE MORVAN LEBESQUE;RENNES;;
1139;BOUCHERIE CHARCUTERIE;Ille et Vilaine;"{""coordinates"": [[-1.719194728197392, 48.155355722343046]], ""type"": ""MultiPoint""}";BOUCHERIE CHARCUTERIE ALIMENTATION GENERALE;15 RUE PIERRE TEXIER;MONTGERMONT;;
1140;LA P'TITE FOURNEE;Ille et Vilaine;"{""coordinates"": [[-1.850185114112724, 48.071535404202706]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;5 PLACE SAINT PIERRE;MORDELLES;;
1141;EPICERIE DAVID;Ille et Vilaine;"{""coordinates"": [[-1.850331190707105, 48.07153128173872]], ""type"": ""MultiPoint""}";EPICERIE POISSONNERIE + BIO;3 B PLACE SAINT PIERRE;MORDELLES;;
1142;LA CREPE RIT;Ille et Vilaine;"{""coordinates"": [[-1.534369115234302, 48.13288605315626]], ""type"": ""MultiPoint""}";CREPERIE;4 RUE DE CALAIS;ACIGNE;;
1143;CHARCUTIER TRAITEUR BOUCHERIE;Ille et Vilaine;"{""coordinates"": [[-1.533408455830678, 48.133787717183274]], ""type"": ""MultiPoint""}";BOUCHERIE CHARCUTERIE TRAITEUR;13 RUE JUDITH D ACIGNE;ACIGNE;;
1144;A LA BONNE PATE;Ille et Vilaine;"{""coordinates"": [[-1.536118812961651, 48.131771306957035]], ""type"": ""MultiPoint""}";PIZZA AE LIVREE;1 RUE DU GRAND FOUR;ACIGNE;;
1145;BOULANGERIE D'ARMORIQUE;Ille et Vilaine;"{""coordinates"": [[-1.637979639472452, 48.181282502546544]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;14 AVENUE D ARMORIQUE;BETTON;;
1146;LE PACIFIC;Ille et Vilaine;"{""coordinates"": [[-1.642711956338894, 48.17088383231528]], ""type"": ""MultiPoint""}";HOTEL RESTAURANT;L ENSEIGNE DE L ABBAYE;BETTON;;
1147;AUX DELICES DU TREGOR;Ille et Vilaine;"{""coordinates"": [[-1.645672959913206, 48.18378580353068]], ""type"": ""MultiPoint""}";BOUCHERIE CHARCUTERIE;0 CC LE TREGOR;BETTON;;
1148;CARREFOUR MARKET;Ille et Vilaine;"{""coordinates"": [[-1.637938109362457, 48.18250176315101]], ""type"": ""MultiPoint""}";SUPERMARCHE;0 AV MOZART;BETTON;;
1149;BOULANGERIE;Ille et Vilaine;"{""coordinates"": [[-1.638000282273292, 48.17903358041231]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;21 RUE DE RENNES;BETTON;;
1150;EKINAT;Ille et Vilaine;"{""coordinates"": [[-1.637500630274198, 48.16338452120032]], ""type"": ""MultiPoint""}";RESTAURATION RAPIDE AE;ZONE D ACTIVITE DE PLUVIGNO;BETTON;;
1151;LE BISTROT DE DIDIER;Ille et Vilaine;"{""coordinates"": [[-1.435981967375662, 48.1838172654725]], ""type"": ""MultiPoint""}";RESTAURANT TRAITEUR;21 RUE THEOPHILE REMOND;LA BOUEXIERE;;
1152;LE RELAIS LE HAUT DE LA LANDE;Ille et Vilaine;"{""coordinates"": [[-1.385073184839107, 48.16681467099534]], ""type"": ""MultiPoint""}";BAR TABAC RESTAURANT;HAUT DE LA LANDE;LA BOUEXIERE;;
1153;CHEZ LA PRUNE;Ille et Vilaine;"{""coordinates"": [[-1.616163622243777, 47.996357543418306]], ""type"": ""MultiPoint""}";BOUCHERIE CHARCUTERIE TRAITEUR RESTAURANT;41 RUE DE L ANCIENNE MAIRIE;BOURGBARRE;;
1154;BAR CREPERIE DE L'ISLE;Ille et Vilaine;"{""coordinates"": [[-1.614057691059362, 47.995528283985436]], ""type"": ""MultiPoint""}";BAR RESTAURANT;PONT DU GUE;BOURGBARRE;;
1155;BOULANGERIE PATISSERIE;Ille et Vilaine;"{""coordinates"": [[-1.613634353441287, 47.99549521344116]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;RUE DU BEAU SOLEIL;BOURGBARRE;;
1156;C&D BOULAY;Ille et Vilaine;"{""coordinates"": [[-1.483525490937139, 48.11087002846179]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;12 RUE DE RENNES;BRECE;;
1157;LE SAINT ARMEL;Ille et Vilaine;"{""coordinates"": [[-1.745967991588905, 48.015779553139815]], ""type"": ""MultiPoint""}";BAR RESTAURANT;LE PONT SAINT ARMEL;BRUZ;;
1158;LA PERGOLA;Ille et Vilaine;"{""coordinates"": [[-1.749605899153427, 48.02775118766845]], ""type"": ""MultiPoint""}";RESTAURANT;39 AV JULES TRICAULT;BRUZ;;
1159;BOULANGERIE PASCAL DUBOIS;Ille et Vilaine;"{""coordinates"": [[-1.74751928289989, 48.024385731544925]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;2 PLACE DU DOCTEUR JOLY;BRUZ;;
1160;BOUCHERIE P.CLERMONT;Ille et Vilaine;"{""coordinates"": [[-1.747970158412411, 48.02481389059934]], ""type"": ""MultiPoint""}";BOUCHERIE CHARCUTERIE TRAITEUR;4 AVENUE JOSEPH JAN;BRUZ;;
1161;CAFE DE L'HORLOGE;Ille et Vilaine;"{""coordinates"": [[-1.747055538363625, 48.02491204400159]], ""type"": ""MultiPoint""}";BAR + PETITE RESTAURATION;16 PLACE DU DOCTEUR JOLY;BRUZ;;
1162;L'AMI DU PAIN;Ille et Vilaine;"{""coordinates"": [[-1.743051695913782, 48.022539859361565]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;2 PLACE DE BRETAGNE;BRUZ;;
1163;LA GOURMANDE;Ille et Vilaine;"{""coordinates"": [[-1.743606673045779, 48.02292385629794]], ""type"": ""MultiPoint""}";RESTAURANT CREPERIE;1 RUE VICTOR HUGO;BRUZ;;
1164;REST DU GOLF DE CICE BLOSSAC;Ille et Vilaine;"{""coordinates"": [[-1.771625300461102, 48.034630169641154]], ""type"": ""MultiPoint""}";BAR RESTAURANT;0 . DOMAINE DE CICE BLOSSAC;BRUZ;;
1165;ASIA DELICE;Ille et Vilaine;"{""coordinates"": [[-1.743251623116649, 48.022758579459115]], ""type"": ""MultiPoint""}";RESTAURANT ASIATIQUE SP/AE;9 RUE DUGUESCLIN;BRUZ;;
1166;LE PAGNOL;Ille et Vilaine;"{""coordinates"": [[-1.745182070167141, 48.02371452206243]], ""type"": ""MultiPoint""}";RESTAURANT PIZZERIA;LE PAN;BRUZ;;
1167;CAFE BRUZOIS;Ille et Vilaine;"{""coordinates"": [[-1.759065914579354, 48.029476873590056]], ""type"": ""MultiPoint""}";BAR RESTAURANT PMU;7 PLACE DU VERT BUISSON;BRUZ;;
1168;BOULANGERIE;Ille et Vilaine;"{""coordinates"": [[-1.758867109315725, 48.02955259695616]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;7 PLACE DU VERT BUISSON;BRUZ;;
1169;BRIOCHE DOREE (LA);Ille et Vilaine;"{""coordinates"": [[-1.590549738561457, 48.11258767219023]], ""type"": ""MultiPoint""}";VIENNOISERIE SALON DE THE;CENTRE COMMERCIAL CARREFOUR;CESSON SEVIGNE;;
1170;BANETTE;Ille et Vilaine;"{""coordinates"": [[-1.60919351714556, 48.11762306077216]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;38 RUE DU MUGUET;CESSON SEVIGNE;;
1171;BOULANGERIE VINCENT FIZDERES;Ille et Vilaine;"{""coordinates"": [[-1.605209820762986, 48.11638720207604]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;8 COURS DE LA VILAINE;CESSON SEVIGNE;;
1172;EL PARADISIO;Ille et Vilaine;"{""coordinates"": [[-1.590128200486432, 48.111916490957015]], ""type"": ""MultiPoint""}";PIZZERIA;CENTRE COMMERCIAL CARREFOUR;CESSON SEVIGNE;;
1173;STE LE GERMINAL;Ille et Vilaine;"{""coordinates"": [[-1.604909901175565, 48.116054692921075]], ""type"": ""MultiPoint""}";HOTEL RESTAURANT GASTRONOMIQUE;9 COURS DE LA VILAINE;CESSON SEVIGNE;;
1174;COTE A COTE;Ille et Vilaine;"{""coordinates"": [[-1.60783073314248, 48.113956449193445]], ""type"": ""MultiPoint""}";RESTAURANT;0 AV PEUPLIERS;CESSON SEVIGNE;;
1175;LA TERRASSE;Ille et Vilaine;"{""coordinates"": [[-1.607338317907016, 48.14571075619695]], ""type"": ""MultiPoint""}";BAR RESTAURANT;96 ROUTE DE FOUGERES;CESSON SEVIGNE;;
1176;BOUCHERIE (LA);Ille et Vilaine;"{""coordinates"": [[-1.609706173487034, 48.11440879782852]], ""type"": ""MultiPoint""}";BAR RESTAURANT;31 CRS DE LA VILAINE;CESSON SEVIGNE;;
1177;RESTAURANT ASPARA;Ille et Vilaine;"{""coordinates"": [[-1.609607890084885, 48.11757884995503]], ""type"": ""MultiPoint""}";RESTAURANT ASIATIQUE;CENTRE COMMERCIAL BEAUSOLEIL;CESSON SEVIGNE;;
1178;SCARABEE BIOCOOP;Ille et Vilaine;"{""coordinates"": [[-1.60861997714374, 48.11299962523695]], ""type"": ""MultiPoint""}";ALIMENTATION BIO.;8 AVENUE DES PEUPLIERS;CESSON SEVIGNE;;
1179;DOMINO'S PIZZA;Ille et Vilaine;"{""coordinates"": [[-1.611348189217235, 48.114077160484136]], ""type"": ""MultiPoint""}";PIZZA A LIVRER;9 RUE DE RENNES;CESSON SEVIGNE;;
1180;CLASS'CROUTE;Ille et Vilaine;"{""coordinates"": [[-1.612250550241028, 48.10778028895456]], ""type"": ""MultiPoint""}";RESTAURATION RAPIDE SP/AE/A LIVRER SANDWICHERIE;46 RUE DE BRAY;CESSON SEVIGNE;;
1181;LA GRANGE;Ille et Vilaine;"{""coordinates"": [[-1.61404953347826, 48.10755067272822]], ""type"": ""MultiPoint""}";RESTAURANT;40 RUE DE BRAY;CESSON SEVIGNE;;
1182;CHARCUTERIE LE GASTRONOME;Ille et Vilaine;"{""coordinates"": [[-1.610632693138319, 48.108209122667]], ""type"": ""MultiPoint""}";CHARCUTERIE;48 RUE DE BRAY;CESSON SEVIGNE;;
1183;PIMENT ROUGE;Ille et Vilaine;"{""coordinates"": [[-1.588694675479727, 48.11426570181791]], ""type"": ""MultiPoint""}";ALIMENTATION GENERALE;LIEU DIT LA RIGOURDIERE;CESSON SEVIGNE;;
1184;VIVECO;Ille et Vilaine;"{""coordinates"": [[-1.609846517060732, 48.114714978185425]], ""type"": ""MultiPoint""}";ALIMENTATION GENERALE;58 COURS DE LA VILAINE;CESSON SEVIGNE;;
1185;DOUCEUR MACARON;Ille et Vilaine;"{""coordinates"": [[-1.619097074910318, 48.114005378897424]], ""type"": ""MultiPoint""}";PATISSERIE VIENNOISERIE SANDWICHERIE;49 A RUE DE RENNES;CESSON SEVIGNE;;
1186;LE FRUITIER;Ille et Vilaine;"{""coordinates"": [[-1.625167138190554, 48.135589076450586]], ""type"": ""MultiPoint""}";FRUITS LEGUMES;ROUTE DE FOUGERES;CESSON SEVIGNE;;
1187;LE CHANCEEN;Ille et Vilaine;"{""coordinates"": [[-1.380536176119364, 48.035733202140854]], ""type"": ""MultiPoint""}";BAR RESTAURANT EPICERIE;4 PLACE ALEXANDRE BRICET;CHANCE;;
1188;AUX SAVEURS D'AUTREFOIS;Ille et Vilaine;"{""coordinates"": [[-1.622271369552128, 48.08936544743853]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;20 AVENUE ANDRE BONNIN;CHANTEPIE;;
1189;INTERMARCHE;Ille et Vilaine;"{""coordinates"": [[-1.621073911926093, 48.08810910420372]], ""type"": ""MultiPoint""}";SUPERMARCHE;RUE DU LOROUX;CHANTEPIE;;
1190;CAFE DE LA MAIRIE;Ille et Vilaine;"{""coordinates"": [[-1.620173285343292, 48.08880369238877]], ""type"": ""MultiPoint""}";BAR RESTAURANT PMU;59 AVENUE ANDRE BONNIN;CHANTEPIE;;
1191;MAX PLUS;Ille et Vilaine;"{""coordinates"": [[-1.623106412343088, 48.0836139550376]], ""type"": ""MultiPoint""}";BAZAR ALIMENTATION GENERALE;1 RUE DU COURTIL;CHANTEPIE;;
1192;U EXPRESS;Ille et Vilaine;"{""coordinates"": [[-1.733411225339381, 48.177210546579246]], ""type"": ""MultiPoint""}";SUPERETTE;3 RUE DE LA MAIRIE;LA CHAPELLE DES FOUGERETZ;;
1193;CREPERIE LA TUILE;Ille et Vilaine;"{""coordinates"": [[-1.706227438446274, 48.041378318509736]], ""type"": ""MultiPoint""}";CREPERIE;PLACE RENE CASSIN;CHARTRES DE BRETAGNE;;
1194;58;Ille et Vilaine;"{""coordinates"": [[-1.703352815282466, 48.04152064214812]], ""type"": ""MultiPoint""}";RESTAURANT GRILL PIZZERIA;58 RUE DE LA POTERIE;CHARTRES DE BRETAGNE;;
1195;BOULANGERIE AUBERT FREDERIC;Ille et Vilaine;"{""coordinates"": [[-1.706225625679403, 48.04147552136238]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;AVENUE DE LA MARIONNAIS;CHARTRES DE BRETAGNE;;
1196;L'EPI DE CHASNE;Ille et Vilaine;"{""coordinates"": [[-1.561286180283371, 48.2427556829623]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;1 RUE DE L ECOLE;CHASNE SUR ILLET;;
1197;A L'ARDOISE;Ille et Vilaine;"{""coordinates"": [[-1.505804632330574, 48.0501377427301]], ""type"": ""MultiPoint""}";BAR RESTAURANT CREPERIE;28 RUE DU GENERAL DE GAULLE;CHATEAUGIRON;;
1198;CARTINI;Ille et Vilaine;"{""coordinates"": [[-1.503406462616563, 48.04811063927867]], ""type"": ""MultiPoint""}";RESTAURANT PIZZERIA;35 RUE DE LA MADELEINE;CHATEAUGIRON;;
1199;BOUCHERIE CHARCUTERIE;Ille et Vilaine;"{""coordinates"": [[-1.502878401772501, 48.04803422995845]], ""type"": ""MultiPoint""}";BOUCHERIE CHARCUTERIE;21 RUE DE LA MADELEINE;CHATEAUGIRON;;
1200;LE BRUIT QUI COURT;Ille et Vilaine;"{""coordinates"": [[-1.503023130254134, 48.04813793619612]], ""type"": ""MultiPoint""}";RESTAURANT;40 RUE MADELEINE;CHATEAUGIRON;;
1201;BOULANGERIE BAZIN;Ille et Vilaine;"{""coordinates"": [[-1.503570508844736, 48.04766668479776]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;1 RUE DE LA ROUAIRIE;CHATEAUGIRON;;
1202;LE DERVAL;Ille et Vilaine;"{""coordinates"": [[-1.502549251722578, 48.04801851164489]], ""type"": ""MultiPoint""}";BAR RESTAURANT;6 RUE FRANCIS GUERAULT;CHATEAUGIRON;;
1203;BOUCHERIE CHARCUTERIE BEUCHER;Ille et Vilaine;"{""coordinates"": [[-1.502470711375869, 48.047310107653196]], ""type"": ""MultiPoint""}";BOUCHERIE CHARCU FRUITS & LEGUM ALI GEN FROM;ZONE ARTISANALE DE ROCOMPS;CHATEAUGIRON;;
1204;CREPERIE DU CH¶TEAU;Ille et Vilaine;"{""coordinates"": [[-1.501698413001146, 48.048209290813276]], ""type"": ""MultiPoint""}";RESTAURANT;10 RUE DE LA MADELEINE;CHATEAUGIRON;;
1205;PIZZAMI'S;Ille et Vilaine;"{""coordinates"": [[-1.789093298363488, 48.052733739396544]], ""type"": ""MultiPoint""}";PIZZA AE;1 AVENUE DE LA MAIRIE;CHAVAGNE;;
1206;LA PETITE HERMINE;Ille et Vilaine;"{""coordinates"": [[-1.790192897994296, 48.05265209331467]], ""type"": ""MultiPoint""}";CREPERIE SNACK;0 PL L EGLISE;CHAVAGNE;;
1207;BOUCHERIE CHARCUTERIE;Ille et Vilaine;"{""coordinates"": [[-1.790652785766338, 48.05317073238265]], ""type"": ""MultiPoint""}";BOUCHERIE CHARCUTERIE;1 RUE DE LA CROIX VERTE;CHAVAGNE;;
1208;PROXI;Ille et Vilaine;"{""coordinates"": [[-1.869733587702432, 48.106083995135144]], ""type"": ""MultiPoint""}";ALIMENTATION GENERALE+RELAIS POSTE;15 PLACE DU CENTRE;CINTRE;;
1209;LES ROUTIERS;Ille et Vilaine;"{""coordinates"": [[-1.587346157244001, 47.97825794604628]], ""type"": ""MultiPoint""}";BAR TABAC + RESTAURANT;7 PARVIS DE L EGLISE;CORPS NUDS;;
1210;AU P'TIT DELICE;Ille et Vilaine;"{""coordinates"": [[-1.523104244781075, 48.06235152477969]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;1 RUE DU CALVAIRE;DOMLOUP;;
1211;CAFE DE LA TERRASSE;Ille et Vilaine;"{""coordinates"": [[-1.515876771802816, 48.25585816555102]], ""type"": ""MultiPoint""}";BAR TABAC PRESSE RESTAURANT;14 PLACE DE L EGLISE;ERCE PRES LIFFRE;;
1212;L'EAU A LA BOUCHE;Ille et Vilaine;"{""coordinates"": [[-1.519521858634515, 48.29754303312572]], ""type"": ""MultiPoint""}";BAR RESTAURANT CREPERIE;32 RUE JEAN MORIN;GAHARD;;
1213;BOULANGERIE TURMEL;Ille et Vilaine;"{""coordinates"": [[-1.790625593006405, 48.22132110359652]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;12 RUE DE DINAN;GEVEZE;;
1214;BOULANGERIE M GROUSSARD SEBASTIEN;Ille et Vilaine;"{""coordinates"": [[-1.801705527674591, 48.12394205616316]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;LA MUSSE;L HERMITAGE;;
1215;LE TREGOR;Ille et Vilaine;"{""coordinates"": [[-1.801877627046939, 48.12388783693531]], ""type"": ""MultiPoint""}";PIZZA SP/AE BAR;RUE DE LA MESLAIS;L'HERMITAGE;;
1216;ECO PAIN LIFFREEN;Ille et Vilaine;"{""coordinates"": [[-1.515304522854557, 48.21126500747364]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;98 RUE DE RENNES;LIFFRE;;
1217;LE LION D'OR;Ille et Vilaine;"{""coordinates"": [[-1.505792460641315, 48.21429615984081]], ""type"": ""MultiPoint""}";RESTAURANT;8 RUE DE FOUGERES;LIFFRE;;
1218;L'EPICERIE DE SYLVIE;Ille et Vilaine;"{""coordinates"": [[-1.507128768048862, 48.21408136500048]], ""type"": ""MultiPoint""}";ALIMENTATION GENERALE;16 RUE DE RENNES;LIFFRE;;
1219;CHRISTELE ET STEPHANE PONTRUCHER;Ille et Vilaine;"{""coordinates"": [[-1.697132187552689, 48.21773446830508]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;17 PLACE DE L EGLISE;MELESSE;;
1220;BOUCHERIE CHARCUTERIE BERHAULT;Ille et Vilaine;"{""coordinates"": [[-1.695699889793752, 48.21774684235486]], ""type"": ""MultiPoint""}";BOUCHERIE CHARCUTERIE TRAITEUR;1 RUE SAINT GERMAIN;MELESSE;;
1221;AU JARDIN FROMAGER;Ille et Vilaine;"{""coordinates"": [[-1.69745367281896, 48.217385004512884]], ""type"": ""MultiPoint""}";FROMAGE LEGUME VIN EPICERIE FINE;PL DE L EGLISE;MELESSE;;
1222;LE QUINCAMPOIX;Ille et Vilaine;"{""coordinates"": [[-1.702304342683363, 48.212693838584244]], ""type"": ""MultiPoint""}";RESTAURANT;ZONE ARTISANALE DE LA METAIRIE;MELESSE;;
1223;CHICAGO SLICE PIZZA;Ille et Vilaine;"{""coordinates"": [[-1.703888916903506, 48.215336385147324]], ""type"": ""MultiPoint""}";PIZZERIA;0 ZA LA METAIRIE;MELESSE;;
1224;LE FOURNIL DE LA GRANGE;Ille et Vilaine;"{""coordinates"": [[-1.735808330718926, 48.20266277947303]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;ZONE D ACTIVITES DE;LA MEZIERE;;
1225;L'ATELIER DES SAVEURS;Ille et Vilaine;"{""coordinates"": [[-1.755212124849526, 48.21920242304575]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;3 PLACE DE L EGLISE;LA MEZIERE;;
1226;LA BOULANGERIE DE QUARTIER;Ille et Vilaine;"{""coordinates"": [[-1.756675507485922, 48.21988940083403]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;32 PL L EGLISE;LA MEZIERE;;
1227;HOTEL BEAUSEJOUR;Ille et Vilaine;"{""coordinates"": [[-1.74845824248379, 48.21859658055881]], ""type"": ""MultiPoint""}";HOTEL RESTAURANT;19 RUE MACERIA;LA MEZIERE;;
1228;O QUEBEC;Ille et Vilaine;"{""coordinates"": [[-1.730994732455138, 48.20298941109688]], ""type"": ""MultiPoint""}";RESTAURANT QUEBECOIS;AVENUE DU PHARE DU GRAND JA;LA MEZIERE;;
1229;BUFFALO GRILL;Ille et Vilaine;"{""coordinates"": [[-1.729722475567115, 48.20304165934019]], ""type"": ""MultiPoint""}";RESTAURANT GRILL;CAP MALO;LA MEZIERE;;
1230;LA MAISON DE JOSEPHINE;Ille et Vilaine;"{""coordinates"": [[-1.675758985225867, 48.11475682212581]], ""type"": ""MultiPoint""}";RESTAURANT CREPERIE;40 RUE SAINT MELAINE;RENNES;;
1231;LE KHALIFA;Ille et Vilaine;"{""coordinates"": [[-1.682972615116278, 48.11346032023803]], ""type"": ""MultiPoint""}";RESTAURANT MAROCAIN;20 PLACE DES LICES;RENNES;;
1232;ISLY BAR;Ille et Vilaine;"{""coordinates"": [[-1.678021529038396, 48.10677924681525]], ""type"": ""MultiPoint""}";BAR BRASSERIE PIZZA AE;8 RUE D ISLY;RENNES;;
1233;LUCKY BAMBOO;Ille et Vilaine;"{""coordinates"": [[-1.680348907735798, 48.10763124395419]], ""type"": ""MultiPoint""}";RESTAURANT ASIATIQUE;34 RUE DE NEMOURS;RENNES;;
1234;CHINA EXPRESS;Ille et Vilaine;"{""coordinates"": [[-1.678442552912564, 48.1053962253662]], ""type"": ""MultiPoint""}";RESTAURANT CHINOIS;18 RUE D ISLY;RENNES;;
1235;LE FOURNEAU DE FRANCOIS;Ille et Vilaine;"{""coordinates"": [[-1.67721847057124, 48.11398180768568]], ""type"": ""MultiPoint""}";TRAITEUR EPICERIE CREMERIE;24 RUE HOCHE;RENNES;;
1236;LE GOURMANDIN;Ille et Vilaine;"{""coordinates"": [[-1.677946432423126, 48.1088290914618]], ""type"": ""MultiPoint""}";RESTAURATION RAPIDE;6 RUE MARECHAL JOFFRE;RENNES;;
1237;FALAFEL;Ille et Vilaine;"{""coordinates"": [[-1.680755498221116, 48.1159961098698]], ""type"": ""MultiPoint""}";RESTAURANT LIBANAIS;16 RUE DE SAINT MALO;RENNES;;
1238;CAFE BABYLONE;Ille et Vilaine;"{""coordinates"": [[-1.684024840406761, 48.111379866892726]], ""type"": ""MultiPoint""}";BAR RESTAURANT;12 RUE DES DAMES;RENNES;;
1239;L'R DE RIEN;Ille et Vilaine;"{""coordinates"": [[-1.692630364721906, 48.11033784597804]], ""type"": ""MultiPoint""}";BAR RESTAURANT EXPO;36 RUE VANEAU;RENNES;;
1240;LE GANGE;Ille et Vilaine;"{""coordinates"": [[-1.68451494174039, 48.112876084306656]], ""type"": ""MultiPoint""}";RESTAURANT INDIEN;34 PLACE DES LICES;RENNES;;
1241;LECOQ-GADBY;Ille et Vilaine;"{""coordinates"": [[-1.668795142492599, 48.12291298959467]], ""type"": ""MultiPoint""}";HOTEL RESTAURANT*** SPA;156 RUE D ANTRAIN;RENNES;;
1242;BOUCHERIE Y. BOCANDE;Ille et Vilaine;"{""coordinates"": [[-1.679340073913853, 48.10800355647987]], ""type"": ""MultiPoint""}";BOUCHERIE CHARCUTERIE;PLACE DES LICES;RENNES;;
1243;BOULANGERIE PATISSERIE MOREL;Ille et Vilaine;"{""coordinates"": [[-1.632449088444032, 48.13035310608906]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;5 ALLEE MORVAN LEBESQUE;RENNES;;
1244;SUSHI SHOP;Ille et Vilaine;"{""coordinates"": [[-1.678802930479159, 48.11088294727896]], ""type"": ""MultiPoint""}";RESTAURANT JAPONAIS AE/SP/A LIVRER;4 RUE DE COETQUEN;RENNES;;
1245;LE P'TIT FOURNIL GOURMAND;Ille et Vilaine;"{""coordinates"": [[-1.67571270622229, 48.086364369892244]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE SANDWICHERIE;12 RUE DE SUEDE;RENNES;;
1246;L'ILE VERTE;Ille et Vilaine;"{""coordinates"": [[-1.676115410016088, 48.11178461294]], ""type"": ""MultiPoint""}";SANDWICHERIE RESTAURATION RAPIDE;28 RUE SAINT GEORGES;RENNES;;
1247;MAY FLOWER;Ille et Vilaine;"{""coordinates"": [[-1.667864423317622, 48.08578372068398]], ""type"": ""MultiPoint""}";BAR PMU SANDWICHERIE;2 RUE DE SUISSE;RENNES;;
1248;CREPERIE PAYSANE;Ille et Vilaine;"{""coordinates"": [[-1.68001195479294, 48.11412885086083]], ""type"": ""MultiPoint""}";RESTAURANT CREPERIE;6 PLACE SAINTE ANNE;RENNES;;
1249;LA CANTINE DELICES;Ille et Vilaine;"{""coordinates"": [[-1.685478673723175, 48.111771500479996]], ""type"": ""MultiPoint""}";RESTAURANT + TRAITEUR;16 RUE NANTAISE;RENNES;;
1250;COCCIMARKET;Ille et Vilaine;"{""coordinates"": [[-1.666279822431782, 48.0910897458038]], ""type"": ""MultiPoint""}";SUPERMARCHE;14 RUE EUGENE DEPREZ;RENNES;;
1251;CHARCUTERIE JOLY;Ille et Vilaine;"{""coordinates"": [[-1.680334935810332, 48.10778005702592]], ""type"": ""MultiPoint""}";CHARCUTERIE;28 RUE DE NEMOURS;RENNES;;
1252;LA RESERVE;Ille et Vilaine;"{""coordinates"": [[-1.67822977091181, 48.1139549803912]], ""type"": ""MultiPoint""}";RESTAURANT;36 RUE DE LA VISITATION;RENNES;;
